sonar_raw,sonar_mean,sonar_median,lidar_raw,time
26.95,26.95,26.95,24.2,1606223921.4301264
26.95,26.95,26.95,23.7,1606223923.4539714
26.95,26.95,26.95,23.6,1606223926.4570332
26.95,26.95,26.95,23.9,1606223929.4603858
26.95,26.95,26.95,23.8,1606223932.4625547
26.95,26.95,26.95,24.1,1606223935.4660492
26.95,26.95,26.95,23.9,1606223938.4692523
26.95,26.95,26.95,23.6,1606223941.471598
26.95,26.95,26.95,23.9,1606223944.4753044
26.95,26.95,26.95,23.8,1606223947.4784203
26.95,26.95,26.95,23.9,1606223950.4814975
26.95,26.95,26.95,23.8,1606223953.484594
26.95,26.95,26.95,24.2,1606223956.4868348
26.95,26.95,26.95,23.6,1606223959.4906683
26.95,26.95,26.95,23.6,1606223962.4934275
26.95,26.95,26.95,24.0,1606223965.4969072
26.95,26.95,26.95,24.2,1606223968.499427
26.95,26.95,26.95,23.9,1606223971.5025127
26.95,26.95,26.95,23.6,1606223974.5056486
26.95,26.95,26.95,24.5,1606223977.5086057
26.95,26.95,26.95,23.7,1606223980.5111356
26.95,26.95,26.95,23.8,1606223983.514824
26.95,26.95,26.95,24.0,1606223986.5182188
26.95,26.95,26.95,24.0,1606223989.520749
26.95,26.95,26.95,23.6,1606223992.5237124
26.95,26.95,26.95,23.7,1606223995.5267768
26.95,26.95,26.95,23.4,1606223998.530712
26.95,26.95,26.95,24.1,1606224001.5329332
26.95,26.95,26.95,23.9,1606224004.535718
26.95,26.95,26.95,23.7,1606224007.5390854
26.95,26.95,26.95,23.7,1606224010.5420282
26.95,26.95,26.95,23.6,1606224013.5452073
26.95,26.95,26.95,23.8,1606224016.5481045
26.95,26.95,26.95,23.6,1606224019.5519342
26.95,26.95,26.95,24.1,1606224022.5542006
26.95,26.95,26.95,23.4,1606224025.5575523
26.95,26.95,26.95,23.1,1606224028.560468
26.95,26.95,26.95,23.9,1606224031.564084
26.95,26.95,26.95,23.9,1606224034.566504
26.95,26.95,26.95,24.1,1606224037.5694044
26.95,26.95,26.95,23.8,1606224040.5718873
26.95,26.95,26.95,24.0,1606224043.5756676
26.95,26.95,26.95,24.2,1606224046.57853
26.95,26.95,26.95,23.7,1606224049.5817282
26.95,26.95,26.95,23.6,1606224052.5843334
26.95,26.95,26.95,24.0,1606224055.5875447
26.95,26.95,26.95,23.7,1606224058.5907507
26.95,26.95,26.95,24.0,1606224061.5936978
26.95,26.95,26.95,23.5,1606224064.5963757
26.95,26.95,26.95,24.1,1606224067.5986521
26.95,26.95,26.95,23.6,1606224070.6026623
26.95,26.95,26.95,24.1,1606224073.6052885
26.95,26.95,26.95,23.8,1606224076.6087039
26.95,26.95,26.95,23.5,1606224079.611764
26.95,26.95,26.95,23.3,1606224082.6148307
26.95,26.95,26.95,24.2,1606224085.6173456
26.95,26.95,26.95,23.5,1606224088.6208363
26.95,26.95,26.95,24.0,1606224091.6232278
26.95,26.97,26.95,23.8,1606224094.6257148
26.95,26.95,26.95,23.8,1606224097.6296859
26.95,26.95,26.95,24.0,1606224100.632865
26.95,26.95,26.95,23.7,1606224103.6358466
26.95,26.95,26.95,24.1,1606224106.6391063
26.95,26.95,26.95,23.5,1606224109.6417189
26.95,26.95,26.95,24.0,1606224112.6446772
26.95,26.95,26.95,24.3,1606224115.647951
26.95,26.95,26.95,23.7,1606224118.6508133
26.95,26.95,26.95,23.3,1606224121.654085
26.95,26.95,26.95,24.0,1606224124.65738
26.95,26.95,26.95,23.7,1606224127.6604183
26.95,26.95,26.95,23.6,1606224130.6629014
26.95,26.95,26.95,23.4,1606224133.6660154
26.95,26.95,26.95,24.0,1606224136.6692858
26.95,26.95,26.95,23.8,1606224139.6721272
26.95,26.95,26.95,23.8,1606224142.675073
26.95,26.95,26.95,23.7,1606224145.6783967
26.95,26.95,26.95,23.4,1606224148.6815944
26.95,26.95,26.95,24.2,1606224151.6845396
26.95,26.95,26.95,23.8,1606224154.6876109
26.95,26.95,26.95,23.8,1606224157.6903563
26.95,26.95,26.95,23.6,1606224160.693604
26.95,26.95,26.95,24.2,1606224163.6962347
26.95,26.95,26.95,23.7,1606224166.699386
26.95,26.95,26.95,24.0,1606224169.7026725
26.95,26.95,26.95,23.5,1606224172.7054164
26.95,26.95,26.95,24.0,1606224175.7090414
26.95,26.95,26.95,23.3,1606224178.711756
26.95,26.95,26.95,24.1,1606224181.7147899
26.95,26.95,26.95,24.4,1606224184.7177682
26.95,26.95,26.95,23.7,1606224187.7208946
26.95,26.95,26.95,23.5,1606224190.724245
26.95,26.95,26.95,23.2,1606224193.7271006
26.95,26.95,26.95,23.8,1606224196.7300956
26.95,26.95,26.95,24.2,1606224199.732266
26.95,26.97,26.95,23.6,1606224202.7356217
26.95,27.04,26.95,23.9,1606224205.7393072
26.95,27.02,26.95,23.5,1606224208.7423856
26.95,26.95,26.95,23.1,1606224211.7451272
26.95,26.95,26.95,23.9,1606224214.7484176
