raw,mov_average,mean,median,time
23.37,23.0,23.37,23.37,1599845431.230394
23.37,23.0,23.37,23.37,1599845432.6391242
23.37,23.0,23.37,23.37,1599845436.0043068
23.37,23.0,23.37,23.37,1599845439.370058
23.37,23.0,23.37,23.37,1599845442.7353363
23.37,23.0,23.37,23.37,1599845446.1006908
23.37,23.0,23.47,23.37,1599845449.4654925
23.37,23.0,23.37,23.37,1599845452.8310359
23.37,23.0,23.37,23.37,1599845456.1969948
23.37,23.0,23.37,23.37,1599845459.5627768
23.37,23.0,23.37,23.37,1599845462.9289916
23.37,23.0,23.37,23.37,1599845466.2952917
23.37,23.0,23.37,23.37,1599845469.6623058
23.37,23.0,23.37,23.37,1599845473.0289195
23.37,23.0,23.37,23.37,1599845476.3948147
23.8,23.0,23.37,23.37,1599845479.7602873
23.37,23.0,23.39,23.37,1599845483.1244562
23.37,23.0,23.37,23.37,1599845486.4903712
23.37,23.0,23.4,23.37,1599845489.85545
23.37,23.0,23.43,23.37,1599845493.2212749
23.37,23.0,23.37,23.37,1599845496.58758
23.37,23.0,23.38,23.37,1599845499.9533706
23.37,23.0,23.43,23.37,1599845503.3192878
23.37,23.03,23.4,23.37,1599845506.6847706
23.8,23.06,23.56,23.37,1599845510.049797
23.37,23.05,23.59,23.37,1599845513.4141917
23.37,23.0,23.43,23.37,1599845516.7779713
24.29,23.12,23.49,23.37,1599845520.1420746
23.37,23.04,23.42,23.37,1599845523.5062604
23.8,23.0,23.38,23.37,1599845526.8717554
23.37,23.01,23.38,23.37,1599845530.2377017
23.37,23.0,23.37,23.37,1599845533.6043034
23.8,23.02,23.44,23.37,1599845536.9710426
23.37,23.01,23.52,23.37,1599845540.3366594
23.37,23.0,23.41,23.37,1599845543.7018485
23.37,23.0,23.38,23.37,1599845547.0670788
23.37,23.0,23.37,23.37,1599845550.4319327
23.37,23.0,23.37,23.37,1599845553.7971616
23.37,23.0,23.37,23.37,1599845557.1612062
23.37,23.0,23.37,23.37,1599845560.5245688
23.8,23.02,23.42,23.37,1599845563.8882403
23.37,23.0,23.38,23.37,1599845567.2517164
23.37,23.01,23.38,23.37,1599845570.6153913
23.37,23.0,23.37,23.37,1599845573.979735
23.37,23.01,23.38,23.37,1599845577.3444285
24.27,23.26,23.62,23.37,1599845580.7094812
23.37,23.19,23.56,23.37,1599845584.074751
23.37,23.01,23.39,23.37,1599845587.4405038
23.37,23.1,23.47,23.37,1599845590.8049026
23.37,23.01,23.38,23.37,1599845594.1696987
23.37,23.1,23.46,23.37,1599845597.5336652
23.37,23.03,23.4,23.37,1599845600.898709
23.37,23.02,23.39,23.37,1599845604.2628875
23.37,23.0,23.37,23.37,1599845607.6275594
24.29,23.42,23.75,23.37,1599845610.9926572
23.37,23.13,23.5,23.37,1599845614.3576703
23.37,23.0,23.37,23.37,1599845617.7226183
24.27,23.2,23.59,23.37,1599845621.086755
23.37,23.31,23.76,23.8,1599845624.4513543
24.27,23.13,23.51,23.37,1599845627.8160286
23.37,23.53,23.88,24.27,1599845631.1810472
23.37,23.0,23.39,23.37,1599845634.545835
23.37,23.04,23.42,23.37,1599845637.9109757
24.27,23.36,23.69,23.37,1599845641.2763357
24.27,23.46,23.79,23.37,1599845644.640794
24.29,23.44,23.85,23.85,1599845648.00528
24.29,23.6,24.05,24.27,1599845651.3696668
23.86,23.27,23.71,23.37,1599845654.734098
23.37,23.18,23.7,23.84,1599845658.0969977
23.37,23.8,24.12,24.27,1599845661.4598475
24.29,23.81,24.11,24.29,1599845664.824196
23.37,23.21,23.59,23.37,1599845668.1887052
24.29,23.1,23.45,23.37,1599845671.5535047
23.37,23.11,23.48,23.37,1599845674.91906
24.27,23.32,23.75,23.86,1599845678.2839792
23.8,23.52,24.02,24.27,1599845681.6502545
23.37,23.6,23.98,24.27,1599845685.016091
24.29,23.64,24.09,24.27,1599845688.3816533
23.37,23.46,23.84,23.86,1599845691.7472897
24.29,23.57,24.0,24.27,1599845695.1131945
24.27,23.6,24.01,24.27,1599845698.4793787
23.37,23.7,24.09,24.27,1599845701.8450258
23.37,23.2,23.57,23.37,1599845705.2108188
23.37,23.03,23.59,23.37,1599845708.5762196
23.37,23.31,23.78,23.86,1599845711.940786
24.29,23.88,24.17,24.29,1599845715.306145
24.29,23.85,24.19,24.27,1599845718.6703432
23.84,23.19,23.73,23.86,1599845722.0349092
24.29,23.1,23.78,23.86,1599845725.3990939
24.29,23.97,24.27,24.29,1599845728.7635086
