raw,mov_average,mean,median,time
12.78,12.16,12.85,12.78,1599847385.1167045
12.78,12.0,12.78,12.78,1599847388.4285834
12.78,12.0,12.78,12.78,1599847391.7942421
12.78,12.0,12.78,12.78,1599847395.159501
12.78,12.0,12.78,12.78,1599847398.5255182
12.78,12.0,12.78,12.78,1599847401.8908768
12.78,12.0,12.78,12.78,1599847405.255859
12.78,12.0,12.78,12.78,1599847408.6212566
12.78,12.0,12.78,12.78,1599847411.98559
12.78,12.0,12.78,12.78,1599847415.3500586
12.78,12.0,12.78,12.78,1599847418.7145936
12.78,12.0,12.78,12.78,1599847422.0796769
12.71,12.0,12.78,12.78,1599847425.4451742
12.78,12.0,12.78,12.78,1599847428.8104138
12.78,12.0,12.78,12.78,1599847432.176366
12.78,12.0,12.78,12.78,1599847435.5421937
12.78,12.0,12.78,12.78,1599847438.9079485
12.78,12.0,12.78,12.78,1599847442.2731535
12.78,12.0,12.78,12.78,1599847445.6384299
12.78,12.0,12.78,12.78,1599847449.0025964
12.78,12.0,12.78,12.78,1599847452.3674521
12.78,12.0,12.78,12.78,1599847455.7327652
12.78,12.0,12.78,12.78,1599847459.0980515
12.78,12.0,12.78,12.78,1599847462.4640741
12.78,12.0,12.78,12.78,1599847465.829591
12.78,12.0,12.78,12.78,1599847469.1946425
12.78,12.0,12.78,12.78,1599847472.559703
12.78,12.0,12.78,12.78,1599847475.9258242
12.78,12.0,12.78,12.78,1599847479.291391
12.78,12.0,12.78,12.78,1599847482.6565673
12.78,12.0,12.78,12.78,1599847486.0225961
12.78,12.0,12.78,12.78,1599847489.3874578
12.78,12.0,12.78,12.78,1599847492.752308
12.78,12.0,12.78,12.78,1599847496.11729
12.78,12.0,12.78,12.78,1599847499.483265
12.78,12.0,12.78,12.78,1599847502.8507192
12.78,12.0,12.78,12.78,1599847506.217567
12.78,12.0,12.78,12.78,1599847509.5839252
12.78,12.0,12.78,12.78,1599847512.9509633
12.78,12.0,12.78,12.78,1599847516.317454
12.78,12.0,12.78,12.78,1599847519.6836483
12.78,12.0,12.78,12.78,1599847523.048867
12.78,12.0,12.78,12.78,1599847526.4137704
12.78,12.0,12.78,12.78,1599847529.7782154
12.78,12.0,12.78,12.78,1599847533.1435087
12.78,12.0,12.78,12.78,1599847536.5090747
12.78,12.0,12.78,12.78,1599847539.8750463
12.78,12.0,12.78,12.78,1599847543.2419584
12.78,12.0,12.78,12.78,1599847546.6090484
12.78,12.0,12.78,12.78,1599847549.9758787
12.78,12.0,12.78,12.78,1599847553.3424628
12.78,12.0,12.78,12.78,1599847556.7095606
12.78,12.0,12.78,12.78,1599847560.0772328
12.78,12.0,12.78,12.78,1599847563.4448206
12.78,12.0,12.78,12.78,1599847566.8121452
12.78,12.0,12.78,12.78,1599847570.178638
12.78,12.0,12.78,12.78,1599847573.544704
12.78,12.0,12.78,12.78,1599847576.9107113
12.78,12.0,12.78,12.78,1599847580.2767873
12.78,12.0,12.78,12.78,1599847583.643237
12.78,12.0,12.78,12.78,1599847587.0095367
12.78,12.0,12.78,12.78,1599847590.3766837
12.78,12.0,12.78,12.78,1599847593.7438
12.78,12.0,12.78,12.78,1599847597.1109817
12.78,12.0,12.78,12.78,1599847600.4785454
12.78,12.0,12.78,12.78,1599847603.846447
12.78,12.0,12.78,12.78,1599847607.213837
12.78,12.0,12.78,12.78,1599847610.5816813
12.78,12.0,12.78,12.78,1599847613.9491713
12.78,12.0,12.78,12.78,1599847617.316261
12.78,12.0,12.78,12.78,1599847620.6832619
12.78,12.0,12.78,12.78,1599847624.0506256
12.78,12.0,12.78,12.78,1599847627.417944
12.78,12.0,12.78,12.78,1599847630.7858837
12.78,12.0,12.78,12.78,1599847634.153176
12.78,12.0,12.78,12.78,1599847637.5202467
12.78,12.0,12.78,12.78,1599847640.8874521
12.78,12.0,12.78,12.78,1599847644.2540212
12.78,12.0,12.78,12.78,1599847647.6209135
12.78,12.0,12.78,12.78,1599847650.9882045
12.85,12.0,12.78,12.78,1599847654.355262
12.78,12.0,12.78,12.78,1599847657.72276
12.78,12.0,12.78,12.78,1599847661.0898592
12.78,12.0,12.78,12.78,1599847664.457698
12.78,12.0,12.78,12.78,1599847667.8250782
12.78,12.0,12.78,12.78,1599847671.1930885
12.78,12.0,12.78,12.78,1599847674.560684
12.78,12.0,12.78,12.78,1599847677.927698
12.78,12.0,12.78,12.78,1599847681.2949312
12.78,12.0,12.78,12.78,1599847684.662063
