raw,mov_average,mean,median,time
20.2,20.0,20.2,20.2,1598214396.5952446
20.2,19.99,20.19,20.2,1598214397.6232262
20.2,20.0,20.2,20.2,1598214400.990168
20.2,19.98,20.19,20.2,1598214404.3567512
20.2,20.0,20.2,20.2,1598214407.7234066
20.2,20.0,20.2,20.2,1598214411.0903163
20.2,20.0,20.2,20.2,1598214414.4572787
20.2,20.0,20.2,20.2,1598214417.8244317
20.2,20.0,20.2,20.2,1598214421.1915205
20.2,20.0,20.2,20.2,1598214424.559365
20.2,20.0,20.2,20.2,1598214427.9275043
20.2,20.0,20.2,20.2,1598214431.2954643
20.22,20.0,20.2,20.2,1598214434.662828
20.2,20.0,20.2,20.2,1598214438.0298333
20.2,19.99,20.2,20.2,1598214441.396454
20.2,19.99,20.2,20.2,1598214444.763954
20.2,20.0,20.2,20.2,1598214448.1309433
20.2,20.0,20.2,20.2,1598214451.4974394
20.2,19.97,20.19,20.2,1598214454.8658617
20.2,20.0,20.2,20.2,1598214458.2331262
20.22,20.0,20.2,20.2,1598214461.599521
20.2,19.99,20.2,20.2,1598214464.9664621
20.2,20.0,20.2,20.2,1598214468.3327143
20.2,20.0,20.2,20.2,1598214471.7013047
20.2,20.0,20.2,20.2,1598214475.068337
20.2,20.0,20.2,20.2,1598214478.435405
20.2,20.0,20.2,20.2,1598214481.802692
20.2,20.0,20.2,20.2,1598214485.1697667
20.2,19.98,20.19,20.2,1598214488.5371523
20.2,20.0,20.2,20.2,1598214491.904608
20.2,20.0,20.2,20.2,1598214495.271959
20.2,20.0,20.2,20.2,1598214498.6392329
20.2,20.0,20.2,20.2,1598214502.0066211
20.2,20.0,20.2,20.2,1598214505.3743622
20.2,20.0,20.2,20.2,1598214508.741557
20.22,20.0,20.2,20.2,1598214512.1084404
20.2,20.0,20.2,20.2,1598214515.475497
20.2,20.0,20.2,20.2,1598214518.843116
20.2,20.0,20.2,20.2,1598214522.2098897
20.2,20.0,20.2,20.2,1598214525.57755
20.2,20.0,20.2,20.2,1598214528.9447086
20.11,20.0,20.2,20.2,1598214532.3121383
20.2,20.0,20.2,20.2,1598214535.67939
20.2,20.0,20.2,20.2,1598214539.0458694
20.2,19.97,20.19,20.2,1598214542.4130163
20.2,19.99,20.2,20.2,1598214545.7802432
20.2,20.0,20.2,20.2,1598214549.1464126
20.2,20.0,20.2,20.2,1598214552.5132997
20.2,19.99,20.2,20.2,1598214555.8791173
20.2,19.98,20.19,20.2,1598214559.2457948
20.2,19.96,20.18,20.2,1598214562.6116834
20.2,19.99,20.2,20.2,1598214565.9777179
20.2,19.98,20.19,20.2,1598214569.3439522
19.77,19.98,20.2,20.2,1598214572.7100217
20.2,19.98,20.19,20.2,1598214576.0754902
20.2,19.98,20.19,20.2,1598214579.4409196
20.2,19.98,20.19,20.2,1598214582.8060093
20.2,20.0,20.2,20.2,1598214586.171401
20.22,19.99,20.2,20.2,1598214589.5363216
20.2,19.99,20.2,20.2,1598214592.9024458
20.2,20.0,20.2,20.2,1598214596.2694623
20.2,20.0,20.2,20.2,1598214599.6366346
20.2,20.0,20.2,20.2,1598214603.003663
20.2,20.0,20.2,20.2,1598214606.3717608
20.22,20.0,20.2,20.2,1598214609.7386384
20.2,20.0,20.2,20.2,1598214613.1057155
20.2,20.0,20.2,20.2,1598214616.4722407
20.2,19.99,20.2,20.2,1598214619.838467
20.2,20.0,20.2,20.2,1598214623.2037733
20.2,19.99,20.2,20.2,1598214626.5696678
20.2,19.99,20.2,20.2,1598214629.9347765
20.2,20.0,20.2,20.2,1598214633.300218
20.2,20.0,20.2,20.2,1598214636.6642368
20.2,20.0,20.2,20.2,1598214640.0284202
20.2,20.0,20.2,20.2,1598214643.39278
20.2,20.0,20.2,20.2,1598214646.757759
20.2,20.0,20.2,20.2,1598214650.1228943
20.2,20.0,20.2,20.2,1598214653.4886355
20.2,20.0,20.2,20.2,1598214656.8538885
20.2,20.0,20.2,20.2,1598214660.219874
20.09,19.99,20.2,20.2,1598214663.5860837
20.2,20.0,20.2,20.2,1598214666.9523246
20.2,20.0,20.2,20.2,1598214670.3186762
20.2,20.0,20.2,20.2,1598214673.6854937
20.2,20.0,20.2,20.2,1598214677.0513594
20.2,20.0,20.2,20.2,1598214680.416703
20.2,20.0,20.2,20.2,1598214683.78267
20.2,20.0,20.2,20.2,1598214687.1488771
20.2,20.0,20.2,20.2,1598214690.5160847
20.2,20.0,20.2,20.2,1598214693.8827097
