ed_id,ed_x,ed_y,ed_z,sf,gw_id,gw_x,gw_y,gw_z,distance
0.0,-1978.21,-557.662,1.0,7.0,50.0,0.0,0.0,50.0,2055.89
1.0,-4926.68,-48.9478,1.0,11.0,50.0,0.0,0.0,50.0,4927.17
2.0,180.529,2487.8,1.0,7.0,50.0,0.0,0.0,50.0,2494.82
3.0,-3516.02,504.444,1.0,9.0,50.0,0.0,0.0,50.0,3552.36
4.0,41.4849,2130.15,1.0,7.0,50.0,0.0,0.0,50.0,2131.12
5.0,2374.57,2759.92,1.0,8.0,50.0,0.0,0.0,50.0,3641.17
6.0,-2118.03,-1577.85,1.0,8.0,50.0,0.0,0.0,50.0,2641.6
7.0,-957.755,4594.84,1.0,10.0,50.0,0.0,0.0,50.0,4693.85
8.0,819.235,-2142.54,1.0,7.0,50.0,0.0,0.0,50.0,2294.35
9.0,1044.09,4106.64,1.0,10.0,50.0,0.0,0.0,50.0,4237.58
10.0,2419.14,-950.699,1.0,8.0,50.0,0.0,0.0,50.0,2599.71
11.0,3237.38,-893.44,1.0,7.0,50.0,0.0,0.0,50.0,3358.76
12.0,-856.16,619.609,1.0,7.0,50.0,0.0,0.0,50.0,1057.98
13.0,-1761.65,-3381.05,1.0,9.0,50.0,0.0,0.0,50.0,3812.78
14.0,-192.981,3302.81,1.0,9.0,50.0,0.0,0.0,50.0,3308.81
15.0,-2221.89,4016.69,1.0,11.0,50.0,0.0,0.0,50.0,4590.53
16.0,242.735,4864.32,1.0,11.0,50.0,0.0,0.0,50.0,4870.62
17.0,1056.13,1257.66,1.0,7.0,50.0,0.0,0.0,50.0,1643.03
18.0,-2626.79,3365.63,1.0,9.0,50.0,0.0,0.0,50.0,4269.65
19.0,1745.98,1965.49,1.0,8.0,50.0,0.0,0.0,50.0,2629.45
20.0,1586.18,4624.2,1.0,11.0,50.0,0.0,0.0,50.0,4888.92
21.0,2359.38,197.946,1.0,7.0,50.0,0.0,0.0,50.0,2368.17
22.0,-2425.09,-1860.0,1.0,10.0,50.0,0.0,0.0,50.0,3056.64
23.0,-4340.99,-2402.06,1.0,12.0,50.0,0.0,0.0,50.0,4961.5
24.0,305.015,-3093.61,1.0,9.0,50.0,0.0,0.0,50.0,3109.0
25.0,-2793.99,694.314,1.0,8.0,50.0,0.0,0.0,50.0,2879.38
26.0,2938.28,-2648.71,1.0,9.0,50.0,0.0,0.0,50.0,3956.21
27.0,4242.97,-2492.36,1.0,11.0,50.0,0.0,0.0,50.0,4921.08
28.0,1551.98,1919.64,1.0,12.0,50.0,0.0,0.0,50.0,2469.02
29.0,1641.96,-4210.11,1.0,9.0,50.0,0.0,0.0,50.0,4519.24
30.0,-4605.0,-511.664,1.0,10.0,50.0,0.0,0.0,50.0,4633.6
31.0,-2943.51,4006.99,1.0,11.0,50.0,0.0,0.0,50.0,4972.18
32.0,-4436.68,2106.99,1.0,12.0,50.0,0.0,0.0,50.0,4911.82
33.0,4181.78,516.166,1.0,11.0,50.0,0.0,0.0,50.0,4213.8
34.0,-3655.92,800.592,1.0,10.0,50.0,0.0,0.0,50.0,3742.88
35.0,-2387.37,98.5043,1.0,7.0,50.0,0.0,0.0,50.0,2389.9
36.0,-1537.24,3688.49,1.0,11.0,50.0,0.0,0.0,50.0,3996.3
37.0,-4438.28,832.237,1.0,10.0,50.0,0.0,0.0,50.0,4515.9
38.0,2920.79,2424.96,1.0,9.0,50.0,0.0,0.0,50.0,3796.55
39.0,-2869.05,132.392,1.0,8.0,50.0,0.0,0.0,50.0,2872.52
40.0,-317.435,-182.322,1.0,7.0,50.0,0.0,0.0,50.0,369.334
41.0,2826.34,-1830.73,1.0,9.0,50.0,0.0,0.0,50.0,3367.81
42.0,919.36,3048.31,1.0,9.0,50.0,0.0,0.0,50.0,3184.31
43.0,3562.29,-1600.34,1.0,9.0,50.0,0.0,0.0,50.0,3905.56
44.0,2656.13,2300.5,1.0,8.0,50.0,0.0,0.0,50.0,3514.22
45.0,-4157.2,-619.755,1.0,10.0,50.0,0.0,0.0,50.0,4203.43
46.0,-2767.48,-2623.33,1.0,9.0,50.0,0.0,0.0,50.0,3813.56
47.0,-601.229,3460.95,1.0,9.0,50.0,0.0,0.0,50.0,3513.13
48.0,4054.34,87.5757,1.0,10.0,50.0,0.0,0.0,50.0,4055.58
49.0,3628.0,1864.03,1.0,10.0,50.0,0.0,0.0,50.0,4079.15
