ed_id,ed_x,ed_y,ed_z,sf,gw_id,gw_x,gw_y,gw_z,distance
0.0,-106.526,109.343,1.0,7.0,100.0,0.0,0.0,50.0,160.327
1.0,12.9167,-439.235,1.0,7.0,100.0,0.0,0.0,50.0,442.148
2.0,144.309,312.803,1.0,7.0,100.0,0.0,0.0,50.0,347.954
3.0,165.86,-416.849,1.0,7.0,100.0,0.0,0.0,50.0,451.302
4.0,358.914,69.3891,1.0,7.0,100.0,0.0,0.0,50.0,368.829
5.0,-196.465,280.199,1.0,7.0,100.0,0.0,0.0,50.0,345.703
6.0,319.432,259.245,1.0,7.0,100.0,0.0,0.0,50.0,414.301
7.0,14.3509,297.185,1.0,7.0,100.0,0.0,0.0,50.0,301.54
8.0,-209.908,-243.198,1.0,7.0,100.0,0.0,0.0,50.0,324.973
9.0,356.423,-240.529,1.0,7.0,100.0,0.0,0.0,50.0,432.773
10.0,-337.686,-211.973,1.0,7.0,100.0,0.0,0.0,50.0,401.703
11.0,-180.263,-156.266,1.0,7.0,100.0,0.0,0.0,50.0,243.546
12.0,-168.612,-304.423,1.0,7.0,100.0,0.0,0.0,50.0,351.432
13.0,-259.706,353.623,1.0,7.0,100.0,0.0,0.0,50.0,441.472
14.0,18.3226,-486.112,1.0,7.0,100.0,0.0,0.0,50.0,488.919
15.0,401.052,35.6663,1.0,7.0,100.0,0.0,0.0,50.0,405.606
16.0,50.1865,422.282,1.0,7.0,100.0,0.0,0.0,50.0,428.067
17.0,166.713,231.415,1.0,7.0,100.0,0.0,0.0,50.0,289.391
18.0,-204.311,431.791,1.0,7.0,100.0,0.0,0.0,50.0,480.195
19.0,-228.258,-335.532,1.0,7.0,100.0,0.0,0.0,50.0,408.759
20.0,2.18683,-29.6083,1.0,7.0,100.0,0.0,0.0,50.0,57.2925
21.0,64.4104,-225.161,1.0,9.0,100.0,0.0,0.0,50.0,239.263
22.0,-80.1111,162.274,1.0,7.0,100.0,0.0,0.0,50.0,187.488
23.0,-67.1648,-59.2565,1.0,7.0,100.0,0.0,0.0,50.0,102.095
24.0,-65.1046,-448.635,1.0,7.0,100.0,0.0,0.0,50.0,455.975
25.0,-82.4001,-448.588,1.0,10.0,100.0,0.0,0.0,50.0,458.718
26.0,373.59,-308.433,1.0,7.0,100.0,0.0,0.0,50.0,486.93
